Epoch [1/30], Loss: 3.2308, Train F1: 0.0621, Val F1: 0.0466
Epoch [2/30], Loss: 2.9297, Train F1: 0.1375, Val F1: 0.1106
Epoch [3/30], Loss: 2.6998, Train F1: 0.1967, Val F1: 0.1443
Epoch [4/30], Loss: 2.4905, Train F1: 0.2907, Val F1: 0.3278
Epoch [5/30], Loss: 2.2492, Train F1: 0.3840, Val F1: 0.4417
Epoch [6/30], Loss: 2.0347, Train F1: 0.4809, Val F1: 0.5138
Epoch [7/30], Loss: 1.7110, Train F1: 0.6481, Val F1: 0.6491
Epoch [8/30], Loss: 1.4531, Train F1: 0.7943, Val F1: 0.7782
Epoch [9/30], Loss: 1.2262, Train F1: 0.8480, Val F1: 0.7370
Epoch [10/30], Loss: 1.0674, Train F1: 0.8914, Val F1: 0.7925
Epoch [11/30], Loss: 0.9265, Train F1: 0.9203, Val F1: 0.6304
Epoch [12/30], Loss: 0.8405, Train F1: 0.9140, Val F1: 0.7615
Epoch [13/30], Loss: 0.6840, Train F1: 0.9349, Val F1: 0.8001
Epoch [14/30], Loss: 0.5960, Train F1: 0.9626, Val F1: 0.7537
Epoch [15/30], Loss: 0.5150, Train F1: 0.9652, Val F1: 0.8498
Epoch [16/30], Loss: 0.4411, Train F1: 0.9885, Val F1: 0.8588
Epoch [17/30], Loss: 0.3968, Train F1: 0.9916, Val F1: 0.8491
Epoch [18/30], Loss: 0.3559, Train F1: 0.9914, Val F1: 0.8758
Epoch [19/30], Loss: 0.3256, Train F1: 0.9913, Val F1: 0.8879
Epoch [20/30], Loss: 0.3246, Train F1: 1.0000, Val F1: 0.8879
Epoch [21/30], Loss: 0.2858, Train F1: 1.0000, Val F1: 0.8879
Epoch [22/30], Loss: 0.2943, Train F1: 0.9971, Val F1: 0.8635
Epoch [23/30], Loss: 0.2754, Train F1: 1.0000, Val F1: 0.8772
Epoch [24/30], Loss: 0.2649, Train F1: 1.0000, Val F1: 0.8772
